Date,Volume,Open,High,Low,Close,ATR,CC,ODR,Top,Btm,Buy,Sell,Trend,WM,Band,last_pivot
2015-08-07,164329,2.83161997795105,3.5366098880767822,2.521120071411133,2.7721199989318848,1.0154898166656494,-0.7282495037031546,False,True,False,False,False,-1.0,0.0,0.0,2.7721199989318848
2015-08-08,674188,2.793760061264038,2.7988100051879883,0.7147250175476074,0.7533249855041504,1.5497874021530151,-0.7282495037031546,False,False,False,False,False,1.0,2.7721199989318848,6.0,2.7721199989318848
2015-08-09,532170,0.7061359882354736,0.8798099756240845,0.629190981388092,0.7018970251083374,1.1167312661806743,-0.06826796055542439,False,False,True,False,False,1.0,2.7721199989318848,5.0,0.7018970251083374
2015-08-10,405283,0.7139890193939209,0.7298539876937866,0.6365460157394409,0.7084479928016663,0.8608754426240921,0.009333231883006832,False,False,False,False,True,1.0,2.7721199989318848,5.0,0.7018970251083374
2015-08-11,1463100,0.7080870270729065,1.131410002708435,0.6632350087165833,1.0678600072860718,0.782335352897644,0.5073230754216065,False,False,False,False,False,1.0,2.7721199989318848,5.0,0.7018970251083374
2015-08-12,2150620,1.058750033378601,1.2899399995803833,0.8836079835891724,1.2174400091171265,0.7196681300799052,0.1400745423655363,False,False,False,False,False,1.0,2.7721199989318848,5.0,0.7018970251083374
2015-08-13,4068680,1.2222399711608887,1.9650700092315674,1.1719900369644165,1.8276699781417847,0.7301555361066546,0.5012402783338703,False,False,False,False,False,1.0,2.7721199989318848,6.0,0.7018970251083374
2015-08-14,4637030,1.810920000076294,2.2618799209594727,1.7547500133514404,1.8278700113296509,0.7022773325443268,0.00010944710492521992,False,False,False,False,False,1.0,2.7721199989318848,5.0,0.7018970251083374
2015-08-15,2554360,1.8028899431228638,1.8772399425506592,1.5709799528121948,1.6888999938964844,0.6582754055658976,-0.07602839182862642,False,False,False,False,False,1.0,2.7721199989318848,5.0,0.7018970251083374
2015-08-16,3550790,1.6843500137329102,1.6952400207519531,1.0898100137710571,1.5660300254821777,0.6529908657073975,-0.07275147661693793,False,False,False,False,False,1.0,2.7721199989318848,5.0,0.7018970251083374
2015-08-17,1942830,1.5811899900436401,1.5811899900436401,1.1853400468826294,1.2036099433898926,0.6296144182031805,-0.2314260111205062,False,False,False,False,False,1.0,2.7721199989318848,5.0,0.7018970251083374
2015-08-18,1485680,1.2152999639511108,1.3311599493026733,1.087049961090088,1.087049961090088,0.5974890490372976,-0.09684199016462158,False,False,False,False,False,1.0,2.7721199989318848,4.0,0.7018970251083374
2015-08-19,1486240,1.1669299602508545,1.3179899454116821,1.1669299602508545,1.2588599920272827,0.5692929671360896,0.15805164167882824,False,False,False,False,False,1.0,2.7721199989318848,5.0,0.7018970251083374
2015-08-20,2843760,1.2511800527572632,1.5333000421524048,1.248329997062683,1.4649200439453125,0.5489841869899205,0.16368782328699494,False,False,False,False,False,1.0,2.7721199989318848,5.0,0.7018970251083374
2015-08-21,2020970,1.4775199890136719,1.5564199686050415,1.3528000116348267,1.3952900171279907,0.5259599049886068,-0.047531622701942555,False,False,False,False,False,1.0,2.7721199989318848,5.0,0.7018970251083374
2015-08-22,948310,1.3962899446487427,1.4764100313186646,1.352679967880249,1.37923002243042,0.5008205398917198,-0.011510148069881598,False,False,False,False,False,1.0,2.7721199989318848,4.0,0.7018970251083374
2015-08-23,1589300,1.375,1.4097000360488892,1.2977700233459473,1.3525899648666382,0.47794462652767405,-0.019315166528087735,False,False,False,False,False,1.0,2.7721199989318848,4.0,0.7018970251083374
2015-08-24,924920,1.3455899953842163,1.362779974937439,1.2312699556350708,1.2312699556350708,0.4586982594596015,-0.08969459509743527,False,False,False,False,False,1.0,2.7721199989318848,4.0,0.7018970251083374
2015-08-25,1307180,1.2286100387573242,1.241819977760315,1.1286499500274658,1.1401900053024292,0.44051256305293035,-0.07397236480578617,False,False,False,False,False,1.0,2.7721199989318848,4.0,0.7018970251083374
2015-08-26,1056750,1.132789969444275,1.2024799585342407,1.0618300437927246,1.159980058670044,0.42551943063735964,0.017356803055263992,False,False,False,False,False,1.0,2.7721199989318848,4.0,0.7018970251083374
2015-08-27,686662,1.1698100566864014,1.188830018043518,1.1372900009155273,1.1476999521255493,0.4068204599618912,-0.01058648073534485,False,False,False,False,False,1.0,2.7721199989318848,4.0,0.7018970251083374
2015-08-28,721872,1.1476600170135498,1.2077900171279907,1.1204999685287476,1.1913800239562988,0.3908439393937588,0.038058790322203606,False,False,False,False,False,1.0,2.7721199989318848,3.0,0.7018970251083374
2015-08-29,375377,1.1935299634933472,1.2072099447250366,1.1494899988174438,1.1825499534606934,0.37418773971945046,-0.007411632156029357,False,False,False,False,False,1.0,2.7721199989318848,3.0,0.7018970251083374
2015-08-30,1337650,1.1829899549484253,1.3679900169372559,1.170609951019287,1.3192700147628784,0.3653473560293764,0.11561461814114349,False,False,False,False,False,1.0,2.7721199989318848,4.0,0.7018970251083374
2015-08-31,1447180,1.3213800191879272,1.39614999294281,1.20100998878479,1.358240008354187,0.3568369884358086,0.02953905808153534,False,False,False,False,False,1.0,2.7721199989318848,4.0,0.7018970251083374
2015-09-01,778862,1.3534799814224243,1.39274001121521,1.3366299867630005,1.3516099452972412,0.3418006402366286,-0.004881363393925975,False,False,False,False,False,1.0,2.7721199989318848,3.0,0.7018970251083374
2015-09-02,883769,1.3515700101852417,1.3549100160598755,1.2646199464797974,1.2947900295257568,0.3292251117038011,-0.04203869316675435,False,False,False,False,False,1.0,2.7721199989318848,3.0,0.7018970251083374
2015-09-03,702991,1.2951899766921997,1.3099900484085083,1.2110300064086914,1.264930009841919,0.3177118582186019,-0.023061669462171253,False,False,False,False,False,1.0,2.7721199989318848,3.0,0.7018970251083374
2015-09-04,474391,1.264930009841919,1.3025200366973877,1.2368099689483643,1.2744100093841553,0.30511176869512296,0.007494485440677545,False,False,False,False,False,1.0,2.7721199989318848,3.0,0.7018970251083374
2015-09-05,448453,1.28056001663208,1.3423000574111938,1.2711900472640991,1.3388099670410156,0.29341168076772156,0.050533154308777695,False,False,False,True,False,1.0,2.7721199989318848,3.0,0.7018970251083374
2015-09-06,491968,1.3380099534988403,1.3736399412155151,1.2942500114440918,1.2958300113677979,0.28271059321790665,-0.03210310404859795,False,False,False,False,False,1.0,2.7721199989318848,3.0,0.7018970251083374
2015-09-07,489014,1.2958999872207642,1.3054800033569336,1.2378499507904053,1.246649980545044,0.27195656618533776,-0.037952532655762816,False,False,False,False,False,1.0,2.7721199989318848,2.0,0.7018970251083374
2015-09-08,427892,1.246649980545044,1.2823799848556519,1.2306100130081177,1.2424299716949463,0.2609472364684476,-0.0033850791448716278,False,False,False,False,False,1.0,2.7721199989318848,2.0,0.7018970251083374
2015-09-09,366748,1.2393499612808228,1.2604800462722778,1.2018400430679321,1.2065099477767944,0.2508318748052425,-0.028911105443753193,False,False,False,False,False,1.0,2.7721199989318848,2.0,0.7018970251083374
2015-09-10,662782,1.207610011100769,1.2215700149536133,1.1361500024795532,1.1657700538635254,0.24256128168868338,-0.03376672856145069,False,False,False,False,False,1.0,2.7721199989318848,2.0,0.7018970251083374
2015-09-11,1942600,1.16497004032135,1.1690700054168701,0.9406750202178955,0.9829779863357544,0.24185296686419794,-0.15679941933829267,False,False,False,False,False,2.0,0.9829779863357544,1.0,0.7018970251083374
2015-09-12,772430,0.9872279763221741,1.1148899793624878,0.9697800278663635,1.0387400388717651,0.23701581609579425,0.05672767173950133,False,False,False,False,False,2.0,0.9829779863357544,1.0,0.7018970251083374
2015-09-13,644138,1.0417799949645996,1.0427000522613525,0.9028319716453552,0.9360030293464661,0.23215842932180442,-0.0989054100936434,False,False,False,False,False,2.0,0.9360030293464661,1.0,0.7018970251083374
2015-09-14,741085,0.9405660033226013,0.9493870139122009,0.8717600107192993,0.8756219744682312,0.22443185801535928,-0.06450946523153245,False,False,False,False,False,2.0,0.8756219744682312,1.0,0.7018970251083374
2015-09-15,703390,0.8751890063285828,1.0455399751663208,0.8751890063285828,0.9444100260734558,0.22172781355647822,0.07855907413356067,False,False,False,False,False,2.0,0.8756219744682312,1.0,0.7018970251083374
2015-09-16,615593,0.9419770240783691,0.9526979923248291,0.9016389846801758,0.9071750044822693,0.21319437326088697,-0.03942675380734506,False,False,False,False,False,2.0,0.8756219744682312,1.0,0.7018970251083374
2015-09-17,897940,0.9068650007247925,0.9092040061950684,0.8311319947242737,0.8742309808731079,0.20643825517138237,-0.036314959568316985,False,False,False,False,False,2.0,0.8742309808731079,1.0,0.7018970251083374
2015-09-18,484622,0.8745740056037903,0.8881019949913025,0.8339080214500427,0.8536850214004517,0.19882604108987623,-0.023501751736293652,False,False,False,False,False,2.0,0.8536850214004517,1.0,0.7018970251083374
