date,Volume,Open,High,Low,Close,ATR,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot,Worth,CC
2020-11-21 07:00:00,12390215.16,510.48,511.42,509.0,510.3,2.420000000000016,False,False,False,False,False,-1.0,0.0,0.0,510.3,510.3,0.014403292181069949
2020-11-21 08:00:00,23002956.2,510.3,517.65,513.51,517.65,4.884999999999991,False,False,False,False,False,-1.0,0.0,0.0,510.3,510.3,0.014403292181069949
2020-11-21 09:00:00,32126770.63,517.65,514.73,511.01,512.12,5.469999999999989,False,False,False,False,False,-1.0,0.0,0.0,510.3,510.3,-0.010682893847194008
2020-11-21 10:00:00,10573265.54,512.12,512.72,511.05,511.98,4.519999999999996,False,False,False,False,False,-1.0,0.0,0.0,510.3,510.3,-0.0002733734281027411
2020-11-21 11:00:00,17836384.43,511.98,510.79,509.31,509.68,4.15,False,True,False,False,False,-1.0,0.0,0.0,509.68,510.3,-0.004492362982928988
2020-11-21 12:00:00,11149401.4,509.63,515.68,506.81,514.26,4.936666666666658,False,False,True,False,False,1.0,514.26,6.0,509.68,508.97322,0.008986030450478744
2020-11-21 13:00:00,26761822.61,514.26,524.16,514.15,523.43,5.661428571428563,False,False,False,False,False,1.0,523.43,6.0,509.68,518.0489490619531,0.01783144712791196
2020-11-21 14:00:00,97913174.6,523.31,533.72,520.97,533.53,6.547499999999992,False,False,False,False,False,1.0,533.53,6.0,509.68,528.0451173853693,0.01929579886517785
2020-11-21 15:00:00,72142273.79,533.53,539.64,534.37,537.38,6.498888888888883,False,False,False,False,False,1.0,537.38,6.0,509.68,531.8555379838992,0.007216089067156428
2020-11-21 16:00:00,47405475.94,537.57,547.22,533.28,539.2,7.243,False,False,False,False,False,1.0,539.2,6.0,509.68,533.6568277213861,0.0033868026350070135
2020-11-21 17:00:00,30444082.47,539.2,545.43,534.41,545.33,7.586363636363635,False,False,False,False,False,1.0,545.33,6.0,509.68,539.7238090899546,0.011368694362017706
2020-11-21 18:00:00,28775845.48,545.04,544.9,539.46,541.71,7.4433333333333325,False,False,False,False,False,2.0,541.71,1.0,509.68,536.1410240077005,-0.006638182384977931
2020-11-21 19:00:00,22855064.01,541.49,545.7,537.92,541.85,7.469230769230776,False,False,False,False,False,2.0,541.71,1.0,509.68,536.2795847567379,0.0002584408631924884
2020-11-21 20:00:00,8693231.82,541.85,541.85,538.06,541.12,7.2064285714285825,False,False,False,False,False,2.0,541.12,1.0,509.68,535.5570894224711,-0.0013472363200147663
